Unnamed: 0,product_name,shop_name,location,price,discount,amount_sold,rating,no_of_rating,link_product
51,SEPATU VANS OLD SKOOL BLACKWHITE GRADE ORI,footgear28,"KAB. TANGERANG - CURUG, BANTEN, ID",Rp125.000,54% off,"8,9RB",4.9,18,/SEPATU-VANS-OLD-SKOOL-BLACKWHITE-GRADE-ORI-i.233760892.6795154807?position=131
52,COD Sepatu Vans Oldskool Bw N All White Sket Sekolah Olahraga Santai Sport Sneakers Murah 36-43,paradise57,"KOTA BANDUNG - BOJONGLOA KIDUL, JAWA BARAT, ID",Rp69.000,8% off,452,4.7,235,/COD-Sepatu-Vans-Oldskool-Bw-N-All-White-Sket-Sekolah-Olahraga-Santai-Sport-Sneakers-Murah-36-43-i.198349579.6033399468?position=132
53,sepatu casual pria vans OS full colour / sepatu sneakers merah polos / sepatu full red,rmd_store,"KOTA BANDUNG - PANYILEUKAN, JAWA BARAT, ID",Rp98.000,30% off,116,4.5,69,/sepatu-casual-pria-vans-OS-full-colour-sepatu-sneakers-merah-polos-sepatu-full-red-i.13206286.5715586840?position=133
56,Sepatu Vans Authentic Classics / Vans Old Skool Classics Black White,subtleltd,"KOTA BANDUNG - COBLONG, JAWA BARAT, ID",Rp266.000,5% off,12,5.0,4,/Sepatu-Vans-Authentic-Classics-Vans-Old-Skool-Classics-Black-White-i.71851577.3495940238?ads_keyword=vans%20oldskool&adsid=57293177&campaignid=34711099&position=181
57,(BISA COD) 100% PREMIUM OLDSCHOOL BLACK WHITE,bdgshoes,"KOTA BANDUNG - SUKAJADI, JAWA BARAT, ID",Rp158.000,1% off,"6,4RB",4.8,4RB,/(BISA-COD)-100-PREMIUM-OLDSCHOOL-BLACK-WHITE-i.37180187.1914088885?ads_keyword=vans&adsid=8201431&campaignid=5917816&position=182
58,Sepatu Vans Oldskool Black White Size 36-44 Premium Quality Made In China,siddiksneakersjakarta,"KOTA JAKARTA SELATAN - PESANGGRAHAN, DKI JAKARTA, ID",Rp129.900,57% off,10RB+,4.7,"6,3RB",/Sepatu-Vans-Oldskool-Black-White-Size-36-44-Premium-Quality-Made-In-China-i.20467359.1431441191?ads_keyword=sepatu%20vans&adsid=1384611&campaignid=1384611&position=183
59,Sepatu Sneakers Kasual Sepatu Sekolah Hitam santai,grosirsepatu69,"KOTA SURABAYA - BENOWO, JAWA TIMUR, ID",Rp70.000,50% off,369,4.7,89,/Sepatu-Sneakers-Kasual-Sepatu-Sekolah-Hitam-santai-i.215165947.6592566992?ads_keyword=sepatu%20vans&adsid=52723994&campaignid=32157051&position=184
60,SEPATU018 VANS AUTHENTIC FULL BLACK HITAM COKLAT OLDSKOOL  PREMIUM BNIB ICC IFC DT,jaketwijaya,"KAB. TANGERANG - PASAR KEMIS, BANTEN, ID",Rp50.000,75% off,"1,4RB",4.2,669,/SEPATU018-VANS-AUTHENTIC-FULL-BLACK-HITAM-COKLAT-OLDSKOOL-PREMIUM-BNIB-ICC-IFC-DT-i.76536147.4220687502?ads_keyword=vans%20oldskool&adsid=54512581&campaignid=17047476&position=185
61,Sepatu Casual Cewek Korea Sepatu Canvas Wanita Sepatu Cewek VANS Fashion Trend 2021,chensheva,"KAB. GRESIK - DRIYOREJO, JAWA TIMUR, ID",Rp159.000,50% off,93,4.8,42,/Sepatu-Casual-Cewek-Korea-Sepatu-Canvas-Wanita-Sepatu-Cewek-VANS-Fashion-Trend-2021-i.47458128.8507043648?position=186
62,OBRAL SEPATU COUPLE KELUARGA VANS OLD SKOOL VAULT OG PUTIH NAVY IMPORT QUALITY 26-43,obralsepatumurah,"KOTA JAKARTA SELATAN - PASAR MINGGU, DKI JAKARTA, ID",Rp72.250 - Rp118.750,15% off,130,4.4,49,/OBRAL-SEPATU-COUPLE-KELUARGA-VANS-OLD-SKOOL-VAULT-OG-PUTIH-NAVY-IMPORT-QUALITY-26-43-i.14347012.7163951932?position=187
63,VANS SLIP ON MICHAEL FEBRUARY PREMIUM BNIB UNISEX // SEPATU SANTAI CASUAL PRIA WANITA,shoes.store_jkt,"KOTA JAKARTA SELATAN - KEBAYORAN LAMA, DKI JAKARTA, ID",Rp125.000 - Rp133.400,8% off,"1,3RB",4.7,87,/VANS-SLIP-ON-MICHAEL-FEBRUARY-PREMIUM-BNIB-UNISEX-SEPATU-SANTAI-CASUAL-PRIA-WANITA-i.408487886.9132527598?position=188
65,Sepatu Sneakers / Sepatu Vans Oldskool Cream & White BNIB,expert.mart,"KOTA TANGERANG - PINANG (PENANG), BANTEN, ID",Rp110.000 - Rp135.000,51% off,"3,7RB",4.9,33,/Sepatu-Sneakers-Sepatu-Vans-Oldskool-Cream-White-BNIB-i.379643306.8718078282?position=190
66,Vans Sk8 Hi Classics Bw 100 % Original Made In China DT BNIB ORIGINAL MONEYBACK,sneakerslegend,"KAB. BANDUNG BARAT - PARONGPONG, JAWA BARAT, ID",Rp500.000 - Rp565.500,17% off,842,4.9,607,/Vans-Sk8-Hi-Classics-Bw-100-Original-Made-In-China-DT-BNIB-ORIGINAL-MONEYBACK-i.61641951.1600544440?position=191
67,Sepatu Vans Authentic MONO MAROON GUM Size 39-43 Grade Original Made In China With Box,siddiksneakersjakarta,"KOTA JAKARTA SELATAN - PESANGGRAHAN, DKI JAKARTA, ID",Rp129.900 - Rp300.000,57% off,295,4.5,188,/Sepatu-Vans-Authentic-MONO-MAROON-GUM-Size-39-43-Grade-Original-Made-In-China-With-Box-i.20467359.2306837398?position=192
68,(BISA COD) Sepatu Vans OldSkool Premium - Vans Full black - Sepatu Vans  - Sepatu Casual,ridwan101092,"KAB. BEKASI - TAMBUN SELATAN, JAWA BARAT, ID",Rp139.000,39% off,535,4.8,320,/(BISA-COD)-Sepatu-Vans-OldSkool-Premium-Vans-Full-black-Sepatu-Vans-Sepatu-Casual-i.107251241.5220610450?position=193
69,Sepatu Vans Slip On X Moma Made in China,boots_colection,"KOTA TANGERANG - PINANG (PENANG), BANTEN, ID",Rp145.000,42% off,6RB,4.8,12,/Sepatu-Vans-Slip-On-X-Moma-Made-in-China-i.462216525.3591777784?position=194
70,VANS ERA ORIGINAL MOTHER EARTH MULTICOLOR | VANS ORIGINAL 100% | SEPATU VANS WANITA | SEPATU VANS,clawstore.sneak,"KOTA JAKARTA SELATAN - PASAR MINGGU, DKI JAKARTA, ID",Rp599.000 - Rp735.000,16% off,166,5.0,37,/VANS-ERA-ORIGINAL-MOTHER-EARTH-MULTICOLOR-VANS-ORIGINAL-100-SEPATU-VANS-WANITA-SEPATU-VANS-i.232020050.5764960596?ads_keyword=vans%20wanita&adsid=26840626&campaignid=15998037&position=240
71,SNEAKYPAIR Elthea Sepatu Wanita Kanvas Canvas Shoes FBC  SNP1176 - R44&R9,sneakypairofficial,"KOTA BANDUNG - BANDUNG KIDUL, JAWA BARAT, ID",Rp199.000,39% off,453,4.9,293,/SNEAKYPAIR-Elthea-Sepatu-Wanita-Kanvas-Canvas-Shoes-FBC-SNP1176-R44-R9-i.143972192.8970167259?ads_keyword=sepatu%20converse&adsid=53317119&campaignid=32517011&position=241
72,sepatu Vans old skool Fetino sepatu kasual pria wanita // Autentik Fans / Vens Fatino / sepatu cowok,winiofficial,"KAB. MOJOKERTO - PURI, JAWA TIMUR, ID",Rp43.900 - Rp55.800,,905,4.3,177,/sepatu-Vans-old-skool-Fetino-sepatu-kasual-pria-wanita-Autentik-Fans-Vens-Fatino-sepatu-cowok-i.414567924.3490282311?ads_keyword=sepatu&adsid=49364362&campaignid=30102986&position=242
73,COD Sepatu Vans Oldskool Bw N All White Sket Sekolah Olahraga Santai Sport Sneakers - vans patta,barcelona85,"KOTA BANDUNG - RANCASARI, JAWA BARAT, ID",Rp92.500,26% off,341,4.3,174,/COD-Sepatu-Vans-Oldskool-Bw-N-All-White-Sket-Sekolah-Olahraga-Santai-Sport-Sneakers-vans-patta-i.38330666.5339695385?ads_keyword=sepatu%20vans%20old&adsid=11973605&campaignid=7619753&position=243
75,SEPATU PRIA/WANITA VANS OLD SKOOL BLACK WHITE OG 100% PREMIUM BNIB IMPORT MADE IN CHINA COD,gio_shoes.id,"KAB. BANDUNG - PASEH, JAWA BARAT, ID",Rp208.000,20% off,"1,1RB",5.0,6,/SEPATU-PRIA-WANITA-VANS-OLD-SKOOL-BLACK-WHITE-OG-100-PREMIUM-BNIB-IMPORT-MADE-IN-CHINA-COD-i.380019536.3478631795?position=245
76,Sepatu vans old skool full black pria top 1 di shopee,haitunani_store,"KOTA JAKARTA SELATAN - KEBAYORAN BARU, DKI JAKARTA, ID",Rp115.000,8% off,502,4.3,4,/Sepatu-vans-old-skool-full-black-pria-top-1-di-shopee-i.302832475.11016447777?position=246
77,Vans Old Skool Retro Block Pepsi Cola Original BNIB Pria,vanstuff,"KOTA JAKARTA SELATAN - PESANGGRAHAN, DKI JAKARTA, ID",Rp120,,450,0.0,0,/Vans-Old-Skool-Retro-Block-Pepsi-Cola-Original-BNIB-Pria-i.492508077.8687357397?position=247
78,VANS AUTHENTIC MONO FULL BLACK & BLACK WHITE PREMIUM BNIB MADE IN CHINA SEPATU PRIA/WANITA BISA COD,imamdemuh,"KAB. BANDUNG - PASEH, JAWA BARAT, ID",Rp195.000,22% off,828,4.5,10,/VANS-AUTHENTIC-MONO-FULL-BLACK-BLACK-WHITE-PREMIUM-BNIB-MADE-IN-CHINA-SEPATU-PRIA-WANITA-BISA-COD-i.158618819.2892524197?position=248
79,Vans Era Tiger Patchwork Original Bnib Global Market Cowo Cewe,vanstuff,"KOTA JAKARTA SELATAN - PESANGGRAHAN, DKI JAKARTA, ID",Rp120,,550,5.0,1,/Vans-Era-Tiger-Patchwork-Original-Bnib-Global-Market-Cowo-Cewe-i.492508077.9087346581?position=249
80,VANS OLD SKOOL STYLE 36 BLACK / BLANC DE BLANC ORIGINAL BNIB MADE IN CHINA,gantengsneakers,"KAB. BANDUNG BARAT - PARONGPONG, JAWA BARAT, ID",Rp650.000,,23,4.8,16,/VANS-OLD-SKOOL-STYLE-36-BLACK-BLANC-DE-BLANC-ORIGINAL-BNIB-MADE-IN-CHINA-i.41032399.9034471168?position=250
81,SEPATU WANITA VANS OFF THE WALL VELCRO,sumani_store,"KOTA JAKARTA SELATAN - KEBAYORAN BARU, DKI JAKARTA, ID",Rp120.000 - Rp125.000,,490,5.0,1,/SEPATU-WANITA-VANS-OFF-THE-WALL-VELCRO-i.508195253.11125159511?position=251
82,Sepatu Sneakers Wanita Terbaru Vans Slip On Kris Goto X Japan Lacey Flower Premium Quality BNIB,rdshoes26,"KAB. TANGERANG - PANONGAN, BANTEN, ID",Rp50.000 - Rp176.000,20% off,890,4.7,19,/Sepatu-Sneakers-Wanita-Terbaru-Vans-Slip-On-Kris-Goto-X-Japan-Lacey-Flower-Premium-Quality-BNIB-i.288438323.9970272339?position=252
83,Vans Slip On Checkerboard PRO Black White Couple Pria dan Wanita Original BNIB,vanstuff,"KOTA JAKARTA SELATAN - PESANGGRAHAN, DKI JAKARTA, ID",Rp120,,500,5.0,1,/Vans-Slip-On-Checkerboard-PRO-Black-White-Couple-Pria-dan-Wanita-Original-BNIB-i.492508077.8587357512?position=253
84,Vans Spicoli 4 Shades Clear Black,seven.goods,"KAB. GUNUNG KIDUL - WONOSARI, DI YOGYAKARTA, ID",Rp199.999,27% off,160,4.8,88,/Vans-Spicoli-4-Shades-Clear-Black-i.187770386.6020779988?position=254
85,Vans Original SK8 Low Black White Garansi Ori Barcode Tembus,vanspediaa,"KOTA BEKASI - BEKASI UTARA, JAWA BARAT, ID",Rp375.000 - Rp605.000,38% off,263,5.0,87,/Vans-Original-SK8-Low-Black-White-Garansi-Ori-Barcode-Tembus-i.28310653.3291470893?ads_keyword=vans&adsid=57815879&campaignid=34996209&position=300
86,Vans Slipon Mono Checkerboard,sandrisofficial,"KOTA CIMAHI - CIMAHI UTARA, JAWA BARAT, ID",Rp199.000,,225,4.6,125,/Vans-Slipon-Mono-Checkerboard-i.133928344.2773232810?ads_keyword=wkdaelpmissisiht&adsid=26333598&campaignid=4138160&position=301
87,SEPATU Vans x SpongeBob Old Skool Bikini Bubble Sneakers,distrik.store,"KOTA BANDUNG - CIBEUNYING KIDUL, JAWA BARAT, ID",Rp522.500,5% off,0,0.0,0,/SEPATU-Vans-x-SpongeBob-Old-Skool-Bikini-Bubble-Sneakers-i.19491199.10138582846?ads_keyword=sepatu%20vans&adsid=62105445&campaignid=37355700&position=302
88,Sepatu Vans Authentic Hitam Gum Premium Quality Waffle DT,kios.kita,"KOTA JAKARTA BARAT - TAMAN SARI, DKI JAKARTA, ID",Rp127.500,15% off,"2,1RB",4.6,"1,2RB",/Sepatu-Vans-Authentic-Hitam-Gum-Premium-Quality-Waffle-DT-i.6325227.198693535?ads_keyword=sepatu%20vans&adsid=576262&campaignid=576262&position=303
89,Sepatu Sneakers Casual pria wanita pendek & boots 36-43,sepatu_santai,"KOTA SURABAYA - BENOWO, JAWA TIMUR, ID",Rp67.200,4% off,"8,2RB",4.5,"4,1RB",/Sepatu-Sneakers-Casual-pria-wanita-pendek-boots-36-43-i.293821398.5446361978?ads_keyword=sepatu&adsid=15882975&campaignid=9467294&position=304
90,vans the simpsons sepatu slip on berdineshoe,berdineshoe,"KOTA SURABAYA - KREMBANGAN, JAWA TIMUR, ID",Rp158.000,21% off,400,5.0,1,/vans-the-simpsons-sepatu-slip-on-berdineshoe-i.19827982.11830208499?position=305
91,Sepatu Vans Oldshool OG Hitam Putih Premium Quality,expert.mart,"KOTA TANGERANG - PINANG (PENANG), BANTEN, ID",Rp132.000 - Rp138.000,48% off,383,5.0,3,/Sepatu-Vans-Oldshool-OG-Hitam-Putih-Premium-Quality-i.379643306.10619253569?position=306
92,OBRAL SEPATU VANS SLIP ON OG BLACK WHITE,ayu_sneakers,"KOTA JAKARTA SELATAN - KEBAYORAN BARU, DKI JAKARTA, ID",Rp75.000 - Rp175.000,,852,5.0,1,/OBRAL-SEPATU-VANS-SLIP-ON-OG-BLACK-WHITE-i.32029529.11111390965?position=307
93,SEPATU VANS SLIP ON OG CHECKERBOARD OFF WHITE BLACK BNIB,rindi.storee,"KOTA JAKARTA SELATAN - KEBAYORAN LAMA, DKI JAKARTA, ID",Rp30.000 - Rp175.000,,704,5.0,2,/SEPATU-VANS-SLIP-ON-OG-CHECKERBOARD-OFF-WHITE-BLACK-BNIB-i.469777190.9771290871?position=308
94,SEPATU VANS AUTHENTIC SNEAKEARS HITAM PUTIH TULANG PREMIUM BNIB ICC IFC DT,albilastar33,"KOTA BANDUNG - CIBIRU, JAWA BARAT, ID",Rp85.000,53% off,63,4.6,40,/SEPATU-VANS-AUTHENTIC-SNEAKEARS-HITAM-PUTIH-TULANG-PREMIUM-BNIB-ICC-IFC-DT-i.32242690.1964752756?position=309
95,(FREE GIFT !!!) VANS SLIP ON CLASSIC CHECKERBOARD BLACK WHITE WAFFLE DT GRADE ORI BNIB,adam.novrizal,"KOTA BEKASI - BEKASI TIMUR, JAWA BARAT, ID",Rp120.000,,2RB,5.0,5,/(FREE-GIFT-!!!)-VANS-SLIP-ON-CLASSIC-CHECKERBOARD-BLACK-WHITE-WAFFLE-DT-GRADE-ORI-BNIB-i.113874130.10610088597?position=310
96,sepatu wanita vans oldscol putih polos sepatu sneakers unisek pria wanita,dayana_sport,"KAB. TANGERANG - SEPATAN, BANTEN, ID",Rp70.000,30% off,1RB,4.7,3,/sepatu-wanita-vans-oldscol-putih-polos-sepatu-sneakers-unisek-pria-wanita-i.383672776.3780992288?position=311
97,Vans Style 36 Decon Sf Black White Original BNIBWT Global Market,vanstuff,"KOTA JAKARTA SELATAN - PESANGGRAHAN, DKI JAKARTA, ID",Rp120,,450,0.0,0,/Vans-Style-36-Decon-Sf-Black-White-Original-BNIBWT-Global-Market-i.492508077.8787346798?position=312
98,Sepatu Vans Authentic Classic - Sepatu Snaekers Casual Wanita Premium BNIB,sahmina.store,"KOTA JAKARTA SELATAN - KEBAYORAN LAMA, DKI JAKARTA, ID",Rp35.000 - Rp135.000,,"1,1RB",4.5,4,/Sepatu-Vans-Authentic-Classic-Sepatu-Snaekers-Casual-Wanita-Premium-BNIB-i.159870638.6688903305?position=313
99,Vans Oldskool Classic Black White VANS OS BW BNIB DT ORIGINAL 100% Vans X MoMa Comfcush Old Skool,sneakers.super_colection,"KAB. TANGERANG - PASAR KEMIS, BANTEN, ID",Rp57.950,39% off,0,0.0,0,/Vans-Oldskool-Classic-Black-White-VANS-OS-BW-BNIB-DT-ORIGINAL-100-Vans-X-MoMa-Comfcush-Old-Skool-i.280171296.6540371566?position=314
100,VANS OLDSKOOL CLASIC BLACK/WHITE 100% ORIGINAL (VN000D3HY28)TERMURAH!,401sneaker,"KOTA TANGERANG SELATAN - PONDOK AREN, BANTEN, ID",Rp575.000,,631,5.0,4,/VANS-OLDSKOOL-CLASIC-BLACK-WHITE-100-ORIGINAL-(VN000D3HY28)TERMURAH!-i.140241494.10127722657?position=360
101,Promo Sepatu vans018 motif Lumer sekolah sepatu hitam putih autentic sepatu kets terbaru (COD),jaketwijaya,"KAB. TANGERANG - PASAR KEMIS, BANTEN, ID",Rp60.000,70% off,625,4.4,337,/Promo-Sepatu-vans018-motif-Lumer-sekolah-sepatu-hitam-putih-autentic-sepatu-kets-terbaru-(COD)-i.76536147.7417826517?position=361
102,VANS STYLE 36 DECON SF MARSHMALLOW ORIGINAL | Sepatu Vans Putih | Vans White Original,clawstore.sneak,"KOTA JAKARTA SELATAN - PASAR MINGGU, DKI JAKARTA, ID",Rp550.000 - Rp759.000,,159,4.8,54,/VANS-STYLE-36-DECON-SF-MARSHMALLOW-ORIGINAL-Sepatu-Vans-Putih-Vans-White-Original-i.232020050.6942326487?position=362
103,SEPATU VANS OLD SCOOLL,lodaya290183,"KAB. BANDUNG - BOJONGSOANG, JAWA BARAT, ID",Rp52.500,42% off,386,4.8,208,/SEPATU-VANS-OLD-SCOOLL-i.4095539.4820956367?position=363
104,Vans Spicoli 4 Shades Black,seven.goods,"KAB. GUNUNG KIDUL - WONOSARI, DI YOGYAKARTA, ID",Rp175.000,30% off,37,5.0,22,/Vans-Spicoli-4-Shades-Black-i.187770386.4720899677?position=364
