product_name,shop_name,location,price,discount,amount_sold,rating,no_of_rating,link_product
"VANS AUTHENTIC SEPATU SNEAKERS SIZE 46 47 48 49 UKURAN BESAR RAKSASA - Black White, 49",KAKIGEDE,Kota Depok,Rp850.000,,Terjual 32,4.9,(18 ulasan),https://www.tokopedia.com/kakigede/vans-authentic-sepatu-sneakers-size-46-47-48-49-ukuran-besar-raksasa-black-white-49?whid=0
Sepatu Sneakers Unisex Oto Vans Classic Skool White - Red - 38,SmartClick,Kab. Tangerang,Rp179.000,38%,Terjual 2,5,(2 ulasan),https://www.tokopedia.com/smartclick/sepatu-sneakers-unisex-oto-vans-classic-skool-white-red-38?whid=0
"sepatu ukuran 47 46 45 44 Vans Full balck polos ukuran besar jumbo ! - Hitam, 47",aydinasti,Jakarta Selatan,Rp295.000,,Terjual 20,3.7,(13 ulasan),https://www.tokopedia.com/aydinasti/sepatu-ukuran-47-46-45-44-vans-full-balck-polos-ukuran-besar-jumbo-hitam-47?whid=0
"Sepatu Sneakers Pria Vans Old Skool Bw Casual Kets GRATIS 1KAOS KAKI - Hitam, 40",TikhaNaDian Store,Kab. Bandung,Rp55.000,,Terjual 126,4.3,(66 ulasan),https://www.tokopedia.com/tikanadianstore/sepatu-sneakers-pria-vans-old-skool-bw-casual-kets-gratis-1kaos-kaki-hitam-40?whid=0
Sepatu Vans Old Skool Social Distortion Black,WAROENG SNEAKERS,Jakarta Utara,Rp420.000,,Terjual 5,5,(2 ulasan),https://www.tokopedia.com/warsneaks/sepatu-vans-old-skool-social-distortion-black?whid=0
Sepatu Vans Slip On X-Ray Bones Leather Black Original 100% BNIB!,Toko Adidas Original,Kota Tangerang Selatan,Rp999.000,,Terjual 4,5,(3 ulasan),https://www.tokopedia.com/tokoadidasori/sepatu-vans-slip-on-x-ray-bones-leather-black-original-100-bnib?whid=0
Vans Sepatu Sneakers Pria Wanita Motif Koran Premium - 38,Ezelis Store,Kab. Tangerang,Rp65.000,,Terjual 24,4.7,(14 ulasan),https://www.tokopedia.com/ezelisstore/vans-sepatu-sneakers-pria-wanita-motif-koran-premium-38?whid=0
"sepatu vans authentic sepatu vans premium - Hitam, 38",lexsnoe shoes,Kab. Tangerang,Rp139.000,,Terjual 92,4.8,(42 ulasan),https://www.tokopedia.com/lexsnoe/sepatu-vans-authentic-sepatu-vans-premium-hitam-38?whid=0
"VANS OFF THE WALL |AUTHENTIC BLK WHT | SEPATU - 40,5",FRIDAY KILLER CO,Kab. Pamekasan,Rp639.200,20%,Terjual 21,5,(12 ulasan),https://www.tokopedia.com/fridaykillerco/vans-off-the-wall-authentic-blk-wht-sepatu-40-5?whid=0
Sepatu Vans | Vans Style 36 Decon SF Woven Checkerboard Multicolor |,Two Ways True,Kota Tangerang Selatan,Rp850.000,,Terjual 3,4.3,(3 ulasan),https://www.tokopedia.com/twowaystrue/sepatu-vans-vans-style-36-decon-sf-woven-checkerboard-multicolor?whid=0
"sepatu vans oldskool premium - Hitam, 36",SHANUM15 SHOES,Kab. Bogor,Rp50.000,,Terjual 11,4.8,(6 ulasan),https://www.tokopedia.com/shanum15shoes/sepatu-vans-oldskool-premium-hitam-36?whid=0
"SEPATU VANS ERA AUTHENTIC SEPATU KETS SEKOLAH KULIAH KERJA - Biru, 36",NAF SHOES,Kab. Tangerang,Rp55.000,,Terjual 508,4.8,(257 ulasan),https://www.tokopedia.com/nafshoes888/sepatu-vans-era-authentic-sepatu-kets-sekolah-kuliah-kerja-biru-36?whid=0
Sepatu Vans Slip-Skool x Zhao Zhao 'Year Of The Rat' Original,70stores,Jakarta Pusat,Rp1.749.000,,Terjual 3,5,(3 ulasan),https://www.tokopedia.com/70stores/sepatu-vans-slip-skool-x-zhao-zhao-year-of-the-rat-original?whid=0
Sepatu Vans X Spongebob Era Best Friend | BNIB Original Resmi - 35,Will Goods,Kota Bekasi,Rp1.999.000,,Terjual 7,5,(5 ulasan),https://www.tokopedia.com/willgoodsid/sepatu-vans-x-spongebob-era-best-friend-bnib-original-resmi-35?whid=0
Sepatu Vans OG Slip On 47 DX Anaheim Factory Murah,Joss & Co.,Jakarta Selatan,Rp1.599.900,,Terjual 8,4.6,(7 ulasan),https://www.tokopedia.com/jossandco/sepatu-vans-og-slip-on-47-dx-anaheim-factory-murah?whid=0
Sepatu Pria Dan Wanita Vans Slip On Moma 36-43,bandarsepatu08,Jakarta Selatan,Rp110.000,,Terjual 192,4.6,(134 ulasan),https://www.tokopedia.com/bandarsepatu08/sepatu-pria-dan-wanita-vans-slip-on-moma-36-43?whid=0
SEPATU VANS ORIGINAL | VANS ERA OUROBOROS ORIGINAL RESMI - 36,wellstuff_original,Kota Tangerang Selatan,Rp760.000,,Terjual 2,5,(2 ulasan),https://www.tokopedia.com/wellstufforg/sepatu-vans-original-vans-era-ouroboros-original-resmi-36?whid=0
"SEPATU VANS OLD SKOOL VINTAGE GRAND CASUAL TRENDY HIGH QUALITY PREMIUM - IJONAVYREDYELOW, 39",brosneakers,Kota Bandung,Rp175.000,,Terjual 101,4.5,(55 ulasan),https://www.tokopedia.com/brosneakers/sepatu-vans-old-skool-vintage-grand-casual-trendy-high-quality-premium-ijonavyredyelow-39?whid=0
"SEPATU VANS PRIA OLD SKOOL HITAM VENTINO SNEAKER PRIA TERMURAN - Hitam, 50",Cell-Store01,Jakarta Pusat,Rp45.000,,Terjual 4,5,(2 ulasan),https://www.tokopedia.com/cell-store01/sepatu-vans-pria-old-skool-hitam-ventino-sneaker-pria-termuran-hitam-50?whid=0
Sepatu Vans Ua Authentic Gum Fungi | BNIB Original,Will Goods,Kota Bekasi,Rp999.000,,Terjual 2,5,(2 ulasan),https://www.tokopedia.com/willgoodsid/sepatu-vans-ua-authentic-gum-fungi-bnib-original?whid=0
Sepatu Vans Sk8 Hi Black White HIgh DT Premium,Fresh Banana,Jakarta Selatan,Rp269.000,,Terjual 317,4.4,(152 ulasan),https://www.tokopedia.com/freshbanana/sepatu-vans-sk8-hi-black-white-high-dt-premium?whid=0
VANS OFF THE WALL | OLD SKOOL PRO BLK WHT | SEPATU - 38,FRIDAY KILLER CO,Kab. Pamekasan,Rp1.199.000,,Terjual 14,4.8,(13 ulasan),https://www.tokopedia.com/fridaykillerco/vans-off-the-wall-old-skool-pro-blk-wht-sepatu-38?whid=0
Sepatu Sneakers Unisex Oto Vans Classic Skool Full Black - Grey - 42,SmartClick,Kab. Tangerang,Rp179.000,38%,0,0,0,https://www.tokopedia.com/smartclick/sepatu-sneakers-unisex-oto-vans-classic-skool-full-black-grey-42?whid=0
Sepatu Vans Slip On Slipon Classic DT Full All Black Hitam Premium,Fresh Banana,Jakarta Selatan,Rp259.000,,Terjual 66,4.2,(34 ulasan),https://www.tokopedia.com/freshbanana/sepatu-vans-slip-on-slipon-classic-dt-full-all-black-hitam-premium?whid=0
Sepatu Vans Oldskool MoMA Twist Salvador Dali Original BNIB! - 40.5,Tambora Stuff,Jakarta Barat,Rp2.199.000,,Terjual 5,5,(3 ulasan),https://www.tokopedia.com/tambora-stuff/sepatu-vans-oldskool-moma-twist-salvador-dali-original-bnib-40-5?whid=0
"SEPATU VANS OLDSKOOL FUUL BLACK TINGGI SEPATU SNAEKERS - Hitam, 38",AR-STORE66,Jakarta Barat,Rp108.000,,Terjual 12,4.5,(8 ulasan),https://www.tokopedia.com/ar-store66/sepatu-vans-oldskool-fuul-black-tinggi-sepatu-snaekers-hitam-38?whid=0
Vans Sk8 zipper sepatu vans sk8 hi zip sneakers pria,Keen sneakers,Jakarta Selatan,Rp345.000,,Terjual 2,4,(2 ulasan),https://www.tokopedia.com/keensneakers/vans-sk8-zipper-sepatu-vans-sk8-hi-zip-sneakers-pria?whid=0
"Sepatu Vans Old Skool Premium - Black White, 36",caki,Kab. Tangerang,Rp90.000,,Terjual 123,4.6,(51 ulasan),https://www.tokopedia.com/trashbag/sepatu-vans-old-skool-premium-black-white-36?whid=0
Sepatu Vans Old Skool Pro BMX x Larry Edgar Original 100% BNIB!,Toko Adidas Original,Kota Tangerang Selatan,Rp1.999.000,,Terjual 6,5,(6 ulasan),https://www.tokopedia.com/tokoadidasori/sepatu-vans-old-skool-pro-bmx-x-larry-edgar-original-100-bnib?whid=0
Sepatu Vans Toy Story Edition Premium,vicky-olshop,Jakarta Pusat,Rp480.000,,Terjual 6,4.3,(3 ulasan),https://www.tokopedia.com/vicky-olshop/sepatu-vans-toy-story-edition-premium-2?whid=0
Vans Old Skool Forgotten Bones Original Sepatu Sneakers Vans Original - 42,Superbrand Feet,Kota Tangerang Selatan,Rp849.900,,Terjual 11,5,(8 ulasan),https://www.tokopedia.com/superbrandfeet/vans-old-skool-forgotten-bones-original-sepatu-sneakers-vans-original-42?whid=0
SEPATU UKURAN JUMBO VANS OLD SKOOL 44 45 46,findingshoesjakarta,Kota Bekasi,Rp135.000,,Terjual 8,5,(5 ulasan),https://www.tokopedia.com/findsh/sepatu-ukuran-jumbo-vans-old-skool-44-45-46?whid=0
"Sepatu VANS Oldskool Red Black White - Merah, 38",BLACK STORE88,Jakarta Barat,Rp90.000,,Terjual 12,4.8,(6 ulasan),https://www.tokopedia.com/black-store88/sepatu-vans-oldskool-red-black-white-merah-38?whid=0
VANS OFF THE WALL | OLD SKOOL NAVY | SEPATU - 40.5,FRIDAY KILLER CO,Kab. Pamekasan,Rp719.200,20%,Terjual 6,5,(4 ulasan),https://www.tokopedia.com/fridaykillerco/vans-off-the-wall-old-skool-navy-sepatu-40-5?whid=0
"Sepatu Vans Authentic Gum Black/ Hitam Gum - Abu, 43",ayemshop,Jakarta Barat,Rp130.000,,Terjual 80,4.4,(37 ulasan),https://www.tokopedia.com/ayemshop/sepatu-vans-authentic-gum-black-hitam-gum-abu-43?whid=0
"SEPATU VANS OLD SKOOL OG OFF THE WALL VELCRO PEREKAT HITAM PUTIH - hitam putih, 36",4SDOnlineshop,Jakarta Selatan,Rp120.000,,Terjual 24,4,(19 ulasan),https://www.tokopedia.com/4sdonlineshop/sepatu-vans-old-skool-og-off-the-wall-velcro-perekat-hitam-putih-hitam-putih-36?whid=0
THE GOODS DEPT - VANS U ERA TRUE WHITE - 38,The Goods Dept,Jakarta Selatan,Rp764.100,10%,Terjual 10,5,(5 ulasan),https://www.tokopedia.com/thegoodsdept/the-goods-dept-vans-u-era-true-white-38?whid=0
Sepatu Vans Old school Velcro doebel poksing Waffel DT - 39,dsd_store08,Kota Depok,Rp125.000,,Terjual 13,5,(8 ulasan),https://www.tokopedia.com/dsdstore08/sepatu-vans-old-school-velcro-doebel-poksing-waffel-dt-39?whid=0
Sepatu Vans Slip On X Ray Bones Leather Black ORIGINAL 100% BNIB!,Loker Sepatu Original,Jakarta Selatan,Rp929.000,,0,0,0,https://www.tokopedia.com/lokersepatuori/sepatu-vans-slip-on-x-ray-bones-leather-black-original-100-bnib?whid=0
Sepatu Vans Replika Murah Meriah Terbaru | Sepatu Sekolah,The Master Collections,Kota Tangerang,Rp54.000,,Terjual 21,4.3,(15 ulasan),https://www.tokopedia.com/themastershop/sepatu-vans-replika-murah-meriah-terbaru-sepatu-sekolah?whid=0
"vans / sepatu vans / sepatu putih / vans pria / sneakers pria / - Putih, 40",Mirzaarselan,Kab. Kediri,Rp50.000,,Terjual 218,4.9,(159 ulasan),https://www.tokopedia.com/mirzaarselan/vans-sepatu-vans-sepatu-putih-vans-pria-sneakers-pria-putih-40?whid=0
"Sepatu Casual Vans slip on premium riel picture - Hitam, 36",fitrisneakers,Kab. Tangerang,Rp100.000,,Terjual 48,4.7,(31 ulasan),https://www.tokopedia.com/fitrisneakers/sepatu-casual-vans-slip-on-premium-riel-picture-hitam-36?whid=0
Sepatu Vans Oldskool Full All White Putih Polos - Original PREMIUM - 37,NEW ANGGOANS,Kota Bandung,Rp270.000,,Terjual 130,4.6,(56 ulasan),https://www.tokopedia.com/new-anggoans/sepatu-vans-oldskool-full-all-white-putih-polos-original-premium-37?whid=0
Sepatu Vans Oldskool X Nintendo Console Controller Grey - 36.5,NEW ANGGOANS,Kota Bandung,Rp378.000,,Terjual 29,4.9,(11 ulasan),https://www.tokopedia.com/new-anggoans/sepatu-vans-oldskool-x-nintendo-console-controller-grey-36-5?whid=0
sepatu Vans Oldskool BW,Dani Shoes,Kota Surabaya,Rp75.000,,Terjual 38,4.7,(24 ulasan),https://www.tokopedia.com/danishoes/sepatu-vans-oldskool-bw?whid=0
Sepatu Vans Replika Hitam Polos | Sepatu Sekolah Hitam - Hitam,The Master Collections,Kota Tangerang,Rp56.000,,Terjual 189,4.7,(71 ulasan),https://www.tokopedia.com/themastershop/sepatu-vans-replika-hitam-polos-sepatu-sekolah-hitam-hitam?whid=0
SEPATU VANS OLD SKOOL VAULT OG RAINBOW - 36,bayualkahfi23,Kota Bekasi,Rp123.000,,Terjual 12,4.9,(10 ulasan),https://www.tokopedia.com/bayualkahfi/sepatu-vans-old-skool-vault-og-rainbow-36?whid=0
Sepatu Original Vans Old Skool Retro Block Pepsi Cola BNIB,Mye Shoes,Jakarta Selatan,Rp500.000,,Terjual 1,5,(1 ulasan),https://www.tokopedia.com/myeshoes/sepatu-original-vans-old-skool-retro-block-pepsi-cola-bnib?whid=0
Sepatu Vans Authentic California Classics - Merah,caki,Kab. Tangerang,Rp50.000,,Terjual 68,4.6,(25 ulasan),https://www.tokopedia.com/trashbag/sepatu-vans-authentic-california-classics-merah?whid=0
SEPATU PRIA DAN WANITA VANS VELCRO,findingshoesjakarta,Kota Bekasi,Rp115.000,,Terjual 11,4.6,(8 ulasan),https://www.tokopedia.com/findsh/sepatu-pria-dan-wanita-vans-velcro?whid=0
"Sepatu Vans WD-FW Full Black Hitam polos 36 - 43 ICC Premium Import - Hitam, 36",WD_Footwear Official,Kab. Tangerang,Rp68.000,,Terjual 3,4.5,(2 ulasan),https://www.tokopedia.com/wdfootwear/sepatu-vans-wd-fw-full-black-hitam-polos-36-43-icc-premium-import-hitam-36?whid=0
Sepatu Vans Old Skoll Velcro Sneakers For Unisex Premium Original,Aiko77shoes,Jakarta Selatan,Rp360.000,,Terjual 2,5,(2 ulasan),https://www.tokopedia.com/aikoshoes/sepatu-vans-old-skoll-velcro-sneakers-for-unisex-premium-original?whid=0
Sepatu Vans Slip On Classic Full All Black BNIB Original Premium,sneaker official member,Kota Bandung,Rp299.000,,Terjual 28,4.7,(13 ulasan),https://www.tokopedia.com/sneakerofficial/sepatu-vans-slip-on-classic-full-all-black-bnib-original-premium?whid=0
Sepatu Vans Slip On Slop | Sepatu Slip On Slop | Sepatu Vans Slop,The Master Collections,Kota Tangerang,Rp54.000,,Terjual 20,4.5,(11 ulasan),https://www.tokopedia.com/themastershop/sepatu-vans-slip-on-slop-sepatu-slip-on-slop-sepatu-vans-slop?whid=0
"Sepatu Pria Big Size 44-46 & 39-43 slip on Vans OG black - Full Black, 39",Kitakitashoes,Kota Bekasi,Rp150.000,,Terjual 8,4.5,(6 ulasan),https://www.tokopedia.com/kitakitashoes-1/sepatu-pria-big-size-44-46-39-43-slip-on-vans-og-black-full-black-39?whid=0
Sepatu Vans Classic Slip-On Made For The Makers Original,70stores,Jakarta Pusat,Rp1.299.000,,Terjual 3,5,(2 ulasan),https://www.tokopedia.com/70stores/sepatu-vans-classic-slip-on-made-for-the-makers-original?whid=0
"Sepatu Wanita Kets Vans SP31 - Abu-abu, 37",BELENI,Kota Depok,Rp37.900,,Terjual 196,4.7,(78 ulasan),https://www.tokopedia.com/beleni/sepatu-wanita-kets-vans-sp31-abu-abu-37?whid=0
"Sepatu Pria Dewasa Vans Cacing 36-43 Hitam Trendy - Hitam, 36",Dede shoes15,Kab. Bogor,Rp25.500,,Terjual 22,4.2,(9 ulasan),https://www.tokopedia.com/dedeshoes15/sepatu-pria-dewasa-vans-cacing-36-43-hitam-trendy-hitam-36?whid=0
"sepatu vans sk8 full black ukuran 36 - 45 size - Hitam, 36",aydinasti,Jakarta Selatan,Rp175.000,,Terjual 4,5,(3 ulasan),https://www.tokopedia.com/aydinasti/sepatu-vans-sk8-full-black-ukuran-36-45-size-hitam-36?whid=0
SEPATU PRIA SNEAKERS VANS OLD SKOOL OFF THE WALL YELLOW,PrimaShoesBekasi,Kota Bekasi,Rp160.000,,Terjual 2,5,(2 ulasan),https://www.tokopedia.com/primashoesbe/sepatu-pria-sneakers-vans-old-skool-off-the-wall-yellow?whid=0
Sepatu Vans AVE Pro 'Reflective/Grey' Original,70stores,Jakarta Pusat,Rp1.699.000,,Terjual 1,0,0,https://www.tokopedia.com/70stores/sepatu-vans-ave-pro-reflective-grey-original?whid=0
Sepatu Kolaborasi VANS X MOONEYES / MOON Equipped SK8-HI - 8,Mooneyes Jakarta,Jakarta Selatan,Rp2.500.000,,Terjual 10,5,(6 ulasan),https://www.tokopedia.com/mooneyesjakarta/sepatu-kolaborasi-vans-x-mooneyes-moon-equipped-sk8-hi-8?whid=0
"SEPATU PRIA SNEAKERS VANS OLDSHOOL CACING SEKOLAH KERJA TERLARIS - Hitam, 39",PABRIK SEPATU BANDUNG88,Kab. Bandung,Rp45.000,,Terjual 14,4.2,(12 ulasan),https://www.tokopedia.com/pabrik-1/sepatu-pria-sneakers-vans-oldshool-cacing-sekolah-kerja-terlaris-hitam-39?whid=0
SEPATU PRIA VANS AUTHENTIC BLACK WHITE With Box - 39,JackRepublic,Kota Surabaya,Rp67.000,,Terjual 18,4,(8 ulasan),https://www.tokopedia.com/jackrepublic/sepatu-pria-vans-authentic-black-white-with-box-39?whid=0
Sepatu Sneakers Vans Old Skool Strap Velcro Black White Unisex,ridoshop 9,Jakarta Selatan,Rp135.000,,Terjual 4,5,(2 ulasan),https://www.tokopedia.com/ridoshop-9/sepatu-sneakers-vans-old-skool-strap-velcro-black-white-unisex?whid=0
Sepatu Vans Oldskool Off White Grey List Navy Premium BNIB,NEW ANGGOANS,Kota Bandung,Rp270.000,,Terjual 15,5,(8 ulasan),https://www.tokopedia.com/new-anggoans/sepatu-vans-oldskool-off-white-grey-list-navy-premium-bnib?whid=0
"SEPATU VANS CHECKER BOARD / CATUR (DT) / WHITE / PUTIH - SOL PUTIH - 39, Putih",A-Shoes,Kota Bandung,Rp70.000,,Terjual 254,4.5,(110 ulasan),https://www.tokopedia.com/anyshoes/sepatu-vans-checker-board-catur-dt-white-putih-sol-putih-39-putih?whid=0
SEPATU KASUAL VANS SLIP ON SLIPON SLOP ABU FOX PUTIH - 40,NAF SHOES,Kab. Tangerang,Rp55.000,,Terjual 34,4.8,(13 ulasan),https://www.tokopedia.com/nafshoes888/sepatu-kasual-vans-slip-on-slipon-slop-abu-fox-putih-40?whid=0
"vans pria / sneakers pria / sepatu vans / sepatu cowok / - vt. catur, 39",Mirzaarselan,Kab. Kediri,Rp50.000,,Terjual 180,4.9,(119 ulasan),https://www.tokopedia.com/mirzaarselan/vans-pria-sneakers-pria-sepatu-vans-sepatu-cowok-vt-catur-39?whid=0
VANS CHIMA PRO 2 SHOES - WHITE/WHITE - 39,Vella Supply,Kota Tangerang Selatan,Rp700.000,,0,0,0,https://www.tokopedia.com/vellasupply/vans-chima-pro-2-shoes-white-white-39?whid=0
SEPATU VANS SK8-HI LED ZEPPELIN BLACK WHITE - 40,Sneakerous_Bekasi,Kota Bekasi,Rp299.000,,Terjual 3,5,(2 ulasan),https://www.tokopedia.com/sneakerousbekasi/sepatu-vans-sk8-hi-led-zeppelin-black-white-40?whid=0
SUPPLIER/DROPSHIP/GROSIR SEPATU VANS OLDSKOOL/OLDSCHOOL TERMURAH!,Wide Store,Jakarta Barat,Rp130.000,,Terjual 568,4.1,(279 ulasan),https://www.tokopedia.com/widestore/supplierdropshipgrosir-sepatu-vans-oldskoololdschool-termurah?whid=0
"Sepatu sport Vans clasic new black - Hitam, 39",DMC13 Store,Jakarta Timur,Rp35.000,,Terjual 892,4.5,(443 ulasan),https://www.tokopedia.com/dmc13/sepatu-sport-vans-clasic-new-black-hitam-39?whid=0
"SEPATU VANS AUTHENTIC BLACK GUM / FULL BLACK GUM / VANS MURAH - Hitam, 40",Lucky Ribs,Kota Depok,Rp135.000,,Terjual 487,4.4,(245 ulasan),https://www.tokopedia.com/luckyribs/sepatu-vans-authentic-black-gum-full-black-gum-vans-murah-hitam-40?whid=0
Sepatu Vans Era Authentic Hitam sepatu sekolah skater sepatu kasual - 36,NAF SHOES,Kab. Tangerang,Rp55.000,,Terjual 128,4.9,(71 ulasan),https://www.tokopedia.com/nafshoes888/sepatu-vans-era-authentic-hitam-sepatu-sekolah-skater-sepatu-kasual-36?whid=0
Sepatu Vans Slip On x MoMA By Vasily Kandinsky ORANGE 100% ORIGINAL,Toko Adidas Original,Kota Tangerang Selatan,Rp2.499.000,,Terjual 5,5,(3 ulasan),https://www.tokopedia.com/tokoadidasori/sepatu-vans-slip-on-x-moma-by-vasily-kandinsky-orange-100-original?whid=0
Sepatu Vans Sk8 Sk 8 Hi Black Navy Blue HIgh DT Premium Biru - 38,Ezelis Store,Kab. Tangerang,Rp85.000,,Terjual 46,3.9,(20 ulasan),https://www.tokopedia.com/ezelisstore/sepatu-vans-sk8-sk-8-hi-black-navy-blue-high-dt-premium-biru-38?whid=0
"Sepatu Vans Slip On Classic Checkerboard 100% Original Global - BLACK WHITE, 37",Areba_store,Jakarta Selatan,Rp450.000,,Terjual 90,4.9,(47 ulasan),https://www.tokopedia.com/anjarspor195/sepatu-vans-slip-on-classic-checkerboard-100-original-global-black-white-37?whid=0
"sepatu vans / vans / sepatu pria / sepatu catur - catur, 39",Mirzaarselan,Kab. Kediri,Rp50.000,,Terjual 254,4.9,(162 ulasan),https://www.tokopedia.com/mirzaarselan/sepatu-vans-vans-sepatu-pria-sepatu-catur-catur-39?whid=0
SEPATU VANS PRIA SNEAKERS CASUAL VANS MOTIF OLDSKOOL AUTHENTIC - 41,Ezelis Store,Kab. Tangerang,Rp65.000,,Terjual 145,4.6,(68 ulasan),https://www.tokopedia.com/ezelisstore/sepatu-vans-pria-sneakers-casual-vans-motif-oldskool-authentic-41?whid=0
SEPATU PRIA VANS OLDSKOOL OG RAINBOW BIG (SIZE 45-47),suppliersepatu'bekasi,Kota Bekasi,Rp160.000,,Terjual 2,5,(2 ulasan),https://www.tokopedia.com/sepatuanakmuda-1/sepatu-pria-vans-oldskool-og-rainbow-big-size-45-47?whid=0
(BUY 1 GET 1) BNIB VANS OLD SKOOL ORIGINAL CLASSIC/SEPATU VANS/SNEAKER - 35,Goritna,Kota Surabaya,Rp449.000,,Terjual 19,4.9,(9 ulasan),https://www.tokopedia.com/goritna/buy-1-get-1-bnib-vans-old-skool-original-classic-sepatu-vans-sneaker-35?whid=0
"Sepatu VANS Motif Black White Oldskool - Hitam, 38",BLACK STORE88,Jakarta Barat,Rp100.000,,Terjual 10,4.3,(6 ulasan),https://www.tokopedia.com/black-store88/sepatu-vans-motif-black-white-oldskool-hitam-38?whid=0
SEPATU VANS SK8 HI HIGH FULL RED ALL RED IMPORT BNIB ORIGINAL PREMIUM,official.ebelshop212,Kota Bandung,Rp310.000,,Terjual 2,5,(2 ulasan),https://www.tokopedia.com/ebelshop212/sepatu-vans-sk8-hi-high-full-red-all-red-import-bnib-original-premium?whid=0
"VANS OLDSKOOL PREMIUM DT / SEPATU COUPLE - Hitam, 44",sagayastore official,Kab. Tangerang,Rp129.900,,Terjual 192,4.5,(99 ulasan),https://www.tokopedia.com/sagayastore/vans-oldskool-premium-dt-sepatu-couple-hitam-44?whid=0
Sepatu Vans Chima Pro 2 Original,70stores,Jakarta Pusat,Rp1.649.000,,Terjual 2,5,(2 ulasan),https://www.tokopedia.com/70stores/sepatu-vans-chima-pro-2-original?whid=0
"Vans Authentic Full Black | Sepatu pria wanita | Sneaker murah + Box - Hitam, 37",aydinasti,Jakarta Selatan,Rp145.000,,Terjual 7,5,(4 ulasan),https://www.tokopedia.com/aydinasti/vans-authentic-full-black-sepatu-pria-wanita-sneaker-murah-box-hitam-37?whid=0
"Sepatu Vans Style 36 x Reigning Champ Old Skool Grey BNIB Original PRM - Grey, 42",sneaker official member,Kota Bandung,Rp329.000,,Terjual 5,5,(3 ulasan),https://www.tokopedia.com/sneakerofficial/sepatu-vans-style-36-x-reigning-champ-old-skool-grey-bnib-original-prm-grey-42?whid=0
"GROSIR Sepatu sneakers vans old school murah - Hitam, 36",CV.PUSAT GROSIR SEPATU MURAH,Kota Surabaya,Rp65.000,,Terjual 32,4.6,(20 ulasan),https://www.tokopedia.com/cvpgsm/grosir-sepatu-sneakers-vans-old-school-murah-hitam-36?whid=0
"SEPATU UKURAN 44 45 46 47 VANS OLDSCOOL HITAM LIS PUTIH BESAR JUMBO - Hitam, 38",aydinasti,Jakarta Selatan,Rp145.000,,Terjual 181,4.5,(99 ulasan),https://www.tokopedia.com/aydinasti/sepatu-ukuran-44-45-46-47-vans-oldscool-hitam-lis-putih-besar-jumbo-hitam-38?whid=0
Sepatu Vans Old Skool Pro BMX Larry Edgar Black Yellow Original Murah,Ease Store ID,Kota Tangerang Selatan,Rp1.300.000,,0,0,0,https://www.tokopedia.com/ease-store/sepatu-vans-old-skool-pro-bmx-larry-edgar-black-yellow-original-murah?whid=0
THE GOODS DEPT - VANS UA DESTRUCT SF CAMO - VN0A4BTLTGA - 39,The Goods Dept,Jakarta Selatan,Rp1.499.000,,Terjual 1,5,(1 ulasan),https://www.tokopedia.com/thegoodsdept/the-goods-dept-vans-ua-destruct-sf-camo-vn0a4btltga-39?whid=0
